Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail
1;k.A.;;Holk;Kullmann;;Pechriede;43;74259;Widdern;06298/8383856;0153/8581748;;holk_kullmann@xyz.none
2;Herr;;Jupp;Göttlicher;29.03.1912;Am Krähenacker;83;93444;Bad Kötzting;09941/70597337;;;jupp.1912@anymail.none
3;Herr;;Diethardt;Cengiz;;Landwehr;187;31863;Coppenbrügge;;;;
4;k.A.;;Volkrad;Rothenberger;;Hofkoppel;169;38378;Warberg;05355/92518320;0164/3033162;;volkrad.1939@open-mail.none
5;Herr;;Paulus;Tammen;;Am Schafbach;198;94161;Ruderting;08509/75463328;0165/6131029;;paulus_1994@inter-mail.none
6;Herr;;Benediktus;Fischl;;Heckenwiesenstraße;15;73655;Alfdorf;;0161/8817367;;benediktus_fischl@live-mail.none
7;Herr;Dr.;Eik;Lindhorst;;Geilenbacher Straße;118;56288;Michelbach;;;;
8;Herr;;Medardus;Biberger;;In der Pfad;2;56751;Polch;02654/70141352;;;medardus.biberger@goggle-mail.none
9;k.A.;;Chantal;Nack;;Dietrichstraße;51;67149;Meckenheim;06326/63259330;;;chantal.1958@anymail.none
10;Herr;;Felix;Bornkessel;;Im Eichenpfädle;179;55593;Rüdesheim;0671/35396871;0160/7645130;;felix.bornkessel@justmail.none
11;Herr;;Ruprecht;Geßner;12.10.1904;Diefenauer Weg;176;86916;Kaufering;08191/55816217;0165/9243799;08191/78283020;ruprecht_04@email.none
12;Herr;;Wenzel;Butler;04.02.1903;Unkeler Straße;115;37619;Heyen;05533/88467122;0162/4670877;;wbutler@retromail.none
13;Frau;;Mina;Ali;;Gorch-Fock-Straße;129;29229;Celle;;0172/5540084;;mina_ali@domain.none
14;Frau;;Leona;Abendroth;;Walkersbrunn;88;79576;Weil am Rhein;07621/11527271;;07621/69619542;leona-abendroth@live-mail.none
15;Frau;;Marieke;Klauß;23.11.2006;Dinnendahlstraße;193;84160;Frontenhausen;08732/96707816;0151/1775520;;marieke.klauss@funmail.none
16;Herr;;Burckhardt;Kluck;;Böhmerstraße;76;66851;Oberarnbach;06371/15028837;;;
17;Herr;;Christoph;Oelmann;;Feldmarkring;73;93138;Lappersdorf;0941/406504;0172/2426862;;christoph.oelmann@net-mail.none
18;Frau;;Ruthilde;Kimmig;21.10.1927;Rheinufer;39;64683;Einhausen;06251/10668439;;;ruthilde-kimmig@funmail.none
19;Frau;;Uta;Meisel;03.09.1952;Heller Weg;107;77652;Offenburg;0781/51214730;0164/7464800;;uta-meisel@live-mail.none
20;Herr;;Fabio;Michalski;;Heidensteil;85;63128;Dietzenbach;06074/68667493;0170/8553601;06074/68574473;fmichalski@trashmail.none
21;Herr;;Ekkard;Rockstroh;01.07.2001;In der Hardt;186;66132;Saarbrücken;0681/36991882;0157/2336617;;e_2001@quickmail.none
22;Frau;;Mariele;Straubinger;;Im Osterfeld;196;24972;Steinberg;04632/53182470;0176/2206988;;mariele.straubinger@retromail.none
23;Frau;;Rauthgundis;Prieß;;Quellenweg;162;66424;Homburg;;0154/5837897;;
24;Herr;;Horstmar;Rump;26.07.1941;Ernst-Reuter-Straße;136;45147;Essen;;;;h.rump@email.none
25;Frau;;Anabel;Kliche;29.04.1919;Kerkertserstraße;160;27612;Loxstedt;04744/18057644;0171/6943270;;a-kliche@validmail.none
26;Frau;Dr.;Oslinde;Rosch;;Flandernstraße;106;24800;Elsdorf-Westermühlen;;0163/4173979;;oslinde-rosch@trashmail.none
27;Herr;;Wolf;Schomaker;12.07.1995;Nurmistraße;73;25764;Wesselburener Deichhausen;;0169/2536018;;wolf.schomaker@mymail.none
28;Herr;;Sylvester;Dresler;;Flughafenstraße;93;25946;Nebel;04682/2175646;0179/4993702;;sylvester-dresler@mymail.none
29;Frau;;Heimgard;Dücker;;Im Zillgen;14;54668;Ernzen;06525/50868633;0164/8313531;;hduecker@spam-mail.none
30;Herr;;Edmar;Arens;;Ziegeleiweg;101;72285;Pfalzgrafenweiler;07445/89089898;0166/6434452;;e.arens@anymail.none
31;Frau;;Mira;Staub;06.02.1993;Am Roland;107;63928;Eichenbühl;09371/36402696;0171/4908333;;
